module	status	stage	owner	cause_code	evidence	fix
intpipe_csr_msgs	EMITS_NOW	-	-	census-stale	census said "emit_fast_bridge is not supported for designs with memory nodes"; that refusal exists only in pass.isabelle now	none - re-run the census
minion_dcache_reduce	EMITS_NOW	-	-	census-stale	same fast-bridge refusal, 4 memories	none - re-run the census
trans_exp_rom_case_c0	EMITS_NOW	-	-	census-stale	census said pass.lean ROM/memory refusal; ROM `init` support landed after 2026-08-20	none - re-run the census
trans_exp_rom_case_c1c2	EMITS_NOW	-	-	census-stale	as above	none - re-run the census
trans_log_rom_case_c0	EMITS_NOW	-	-	census-stale	as above	none - re-run the census
trans_log_rom_case_c1c2	EMITS_NOW	-	-	census-stale	as above	none - re-run the census
trans_rcp_rom_case_c0	EMITS_NOW	-	-	census-stale	as above	none - re-run the census
trans_rcp_rom_case_c1c2	EMITS_NOW	-	-	census-stale	as above	none - re-run the census
trans_rsqrt_rom_case_c0	EMITS_NOW	-	-	census-stale	as above	none - re-run the census
trans_rsqrt_rom_case_c1c2	EMITS_NOW	-	-	census-stale	as above	none - re-run the census
trans_sin_rom_case_c0	EMITS_NOW	-	-	census-stale	as above	none - re-run the census
trans_sin_rom_case_c1c2	EMITS_NOW	-	-	census-stale	as above	none - re-run the census
trans_top	EMITS_NOW	-	-	census-stale	as above; 96 flops, 6 ROMs (all async, so the sync-ROM bug below does not touch it)	none - re-run the census
txfma_booth_ppg_32r4	EMITS_NOW	-	-	census-stale	as above	none - re-run the census
txfma_booth_ppg_32r4_norm	EMITS_NOW	-	-	census-stale	as above	none - re-run the census
txfma_f1	EMITS_NOW	-	LiveHD (fixed)	sync-rom-no-clock-domain	Phase B keyed the clock walk on mem_order, which excludes ROMs; a SYNC ROM's read register then asked for a domain that was never recorded -> undiagnosed std::map::at abort	FIXED in 2a948ced8. Emits 13,840 nodes, ACCEPTED, and is the FIRST genuinely multi-domain certificate: 4 domains (ctrl_f0_clk 20 flops, multype_f1_clk 7, ctrl_f1_clk 2, multype_f0_clk 2)
txfmactl_top	GATED	compile	core-et RTL	net-procedural-assign	txfmactl_top.sv:1176,1367,1473,1617 "cannot assign to a net within a procedural context"; the targets are ANSI ports declared `output <name>` with no data type, so they default to wire	declare them `output logic <name>`. Not relaxable: slang --compat vcs was tested and still errors; this is illegal per LRM
minion_top	GATED	compile	core-et RTL	net-procedural-assign	same four txfmactl_top.sv lines, reached through instantiation	clears when txfmactl_top.sv is fixed
txfma_top	GATED	compile	core-et RTL	net-procedural-assign	same four txfmactl_top.sv lines	clears when txfmactl_top.sv is fixed
vpu_lane	GATED	compile	core-et RTL	net-procedural-assign	same four txfmactl_top.sv lines	clears when txfmactl_top.sv is fixed
vpu_top	GATED	compile	core-et RTL	net-procedural-assign	same four txfmactl_top.sv lines	clears when txfmactl_top.sv is fixed
vpu_txfma_trans_top	GATED	compile	core-et RTL	net-procedural-assign	same four txfmactl_top.sv lines	clears when txfmactl_top.sv is fixed
